Ime,Država,Naziv,Classical ocena,Rapid ocena,Blitz ocena,Leto rojstva,Število iger
" Fleming, Hannibal ",ANT, ,1418,1404,1369,,16
" Farquhar, Abner ",ANT, ,1376,0,0,2003,9
" Aska, Jerry ",ANT, ,1337,0,0,2000,15
" Solomon, Joshua ",ANT, ,1311,0,0,2004,36
" Smith, Seymore ",ANT, ,1283,1260,1259,1977,11
" Ince, Victor ",ANT, ,1268,0,0,2001,6
" Warner, Andre ",ANT, ,1261,1211,1211,1998,12
" Solomon, Jonathan ",ANT, ,1231,0,0,2004,23
" Grant, Chester ",ANT, ,1135,1173,1201,1984,5
 Matthew Bailey ,ANT, ,1051,1134,1112,1998,24
 Ashton Fearon ,ANT, ,0,0,0,1984,0
" Barry, Erica ",ANT, ,0,0,0,1997,0
" Benjamin, Cherry-Ann ",ANT, ,0,0,0,1987,2
" Bobb, Ateila ",ANT, ,0,0,0,2000,16
 Cassia Vanessa Denise Parillon ,ANT, ,0,0,0,2004,0
" Christopher, Igol ",ANT, ,0,0,0,1977,0
 Courtney Edwin Williams ,ANT, ,0,0,0,1974,1
" Crump, Shamar ",ANT, ,0,0,0,2000,0
 D ,ANT, ,0,0,0,2004,0
" Daniel, Alana ",ANT, ,0,0,0,2003,0
" Daniel, Taylor ",ANT, ,0,0,0,2001,0
 Dequandra Sophia Lewis ,ANT, ,0,0,0,2004,0
" Evans, Lyle ",ANT, ,0,0,0,1984,86
" Fleming, Jason ",ANT, ,0,1280,1625,1977,0
" George, Kiegel ",ANT, ,0,0,0,2001,3
" Gouveia, Joseph ",ANT, ,0,0,0,2000,0
" Grant, Nicole ",ANT, ,0,0,0,1980,0
" Hector, Jergan ",ANT, ,0,0,0,2000,0
 Iola Simmons ,ANT, ,0,0,0,1984,0
 John Williams ,ANT, ,0,1242,1303,1968,0
" Joseph, Danae ",ANT, ,0,0,0,2003,2
" King, Kyle ",ANT, ,0,0,0,2002,2
" Mathias, Hakeem ",ANT, ,0,0,0,1990,0
" Matthew, Kya ",ANT, ,0,0,0,2004,8
" Mcleod, Mckala ",ANT, ,0,0,0,1987,0
 Philana Joelle Johnson ,ANT, ,0,0,0,2004,0
" Reid, Jadon ",ANT, ,0,0,0,2005,0
" Richards, Laurence ",ANT, ,0,0,0,1999,0
 Samory Edwards ,ANT, ,0,0,0,1996,0
" Silston, Sakim ",ANT, ,0,0,0,1994,0
" Thomas, Alicia ",ANT, ,0,0,0,1984,8
